Model,DPO2004B,,,
Firmware Version,1.56,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,1.60E-08,,,
Filter Frequency,7.00E+07,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
4.04E-04,-0.012,0.012,-0.0068,0.0036
4.04E-04,-0.004,-0.012,0.0004,-0.0068
4.04E-04,-0.004,0.012,0.002,0.0036
4.04E-04,0.004,-0.012,0.0004,-0.0092
4.04E-04,0.004,0.012,-0.0004,0.0036
4.04E-04,-0.004,-0.004,0.002,-0.0028
4.04E-04,-0.004,0.012,0.0036,0.0036
4.04E-04,-0.004,-0.004,0.0012,-0.006
4.04E-04,-0.004,0.004,0.002,0.0068
4.04E-04,0.004,-0.004,0.0012,-0.0044
4.04E-04,-0.004,0.004,-0.0004,0.002
4.04E-04,0.004,-0.004,0.0052,-0.002
4.04E-04,-0.004,0.012,0.0012,0.0028
4.04E-04,-0.004,-0.004,-0.0004,-0.0076
4.04E-04,-0.004,0.004,0.0004,0.0052
4.04E-04,0.004,-0.012,0.0004,-0.006
4.04E-04,0.004,0.012,0.002,0.0052
4.04E-04,0.004,-0.004,-0.002,-0.0012
4.04E-04,0.004,0.004,0.0012,0.0068
4.04E-04,0.004,-0.004,0.0004,-0.0044
4.04E-04,0.004,0.012,0.0012,0.0044
4.04E-04,-0.004,-0.004,-0.0028,-0.002
4.04E-04,-0.004,0.004,0.0004,0.0036
4.04E-04,0.004,-0.004,0.002,-0.0068
4.05E-04,0.012,0.012,-0.002,0.0076
4.05E-04,0.004,-0.004,0.0012,-0.0052
4.05E-04,0.004,0.012,-0.0012,0.0116
4.05E-04,-0.004,-0.004,0.0028,-0.002
4.05E-04,-0.004,0.004,0.0028,0.0036
4.05E-04,-0.004,-0.004,0.0028,-0.0092
4.05E-04,-0.004,0.012,0.0036,0.0108
4.05E-04,0.004,-0.004,0.0044,-0.0012
4.05E-04,0.004,0.012,0.0036,0.0052
4.05E-04,0.004,-0.004,0.006,-0.0052
4.05E-04,-0.004,0.012,0.0004,0.0044
4.05E-04,-0.012,-0.004,-0.0012,-0.0084
4.05E-04,-0.004,0.004,-0.0044,0.0084
4.05E-04,-0.004,-0.012,0.006,-0.0044
4.05E-04,-0.004,0.004,-0.0012,0.0044
4.05E-04,0.004,-0.004,-0.0004,-0.0044
4.05E-04,0.012,0.004,-0.0004,0.006
4.05E-04,0.004,-0.004,-0.0012,-0.0028
4.05E-04,0.004,0.012,0.0044,0.0028
4.05E-04,0.004,-0.004,-0.0004,-0.0036
4.05E-04,0.004,0.012,-0.0084,0.0044
4.05E-04,0.004,-0.004,-0.0044,-0.0084
4.05E-04,0.004,0.004,-0.0028,0.0052
4.05E-04,0.004,-0.012,-0.0028,-0.0076
4.05E-04,-0.004,0.012,-0.01,0.0052
4.05E-04,-0.012,-0.012,-0.0084,-0.01
4.05E-04,0.004,0.012,0.0004,0.0068
4.05E-04,-0.004,-0.012,0.0116,-0.0132
4.05E-04,0.004,0.004,0.014,0.0076
4.05E-04,-0.004,-0.012,-0.0028,-0.022
4.05E-04,0.004,0.012,-0.0036,0.014
4.05E-04,0.004,-0.012,-0.002,-0.0172
4.05E-04,-0.004,0.012,0.0052,0.0116
4.05E-04,-0.004,-0.004,0.0028,-0.0068
4.05E-04,-0.004,0.004,0.0004,0.0068
4.05E-04,-0.004,-0.012,0.0012,-0.0044
4.05E-04,0.004,0.004,0.0004,0.006
4.05E-04,-0.004,-0.004,0.0036,-0.002
4.05E-04,-0.004,0.004,0.0004,0.0028
4.05E-04,0.004,-0.004,0.0012,-0.0028
4.05E-04,0.004,0.004,0.0052,0.0044
4.05E-04,-0.004,-0.004,0.0004,-0.0036
4.05E-04,0.004,0.004,-0.0004,0.0052
4.05E-04,0.004,-0.004,-0.002,-0.0036
4.05E-04,-0.004,0.004,0.0028,0.0052
4.05E-04,-0.004,-0.004,0.0012,-0.0028
4.05E-04,-0.004,0.004,-0.0068,0.006
4.05E-04,-0.004,-0.004,-0.0052,-0.0068
4.05E-04,-0.004,0.004,0.0012,0.0108
4.05E-04,-0.004,-0.004,-0.0076,-0.0068
4.05E-04,0.004,0.004,-0.0044,0.0084
4.05E-04,0.004,-0.004,0.0004,-0.0132
4.05E-04,0.004,0.004,0.0092,0.0132
4.05E-04,-0.004,-0.004,0.0116,-0.0124
4.05E-04,0.004,0.012,0.0076,0.014
4.05E-04,0.004,-0.012,-0.002,-0.0068
4.05E-04,-0.004,0.012,0.0036,0.014
4.05E-04,-0.004,-0.004,0.0036,-0.0044
4.05E-04,-0.004,0.004,0.0028,0.0076
4.05E-04,0.004,-0.004,0.0012,-0.0004
4.05E-04,0.012,0.012,0.002,0.0036
4.05E-04,0.004,-0.004,0.002,-0.0012
4.06E-04,0.004,0.012,0.0052,0.0044
4.06E-04,-0.004,-0.012,0.0036,-0.0076
4.06E-04,-0.004,0.012,0.0012,0.0084
4.06E-04,0.004,-0.004,0.0036,-0.0036
4.06E-04,-0.004,0.012,0.0076,0.006
4.06E-04,-0.004,-0.004,-0.0036,-0.0028
4.06E-04,-0.004,0.004,-0.0028,0.0084
4.06E-04,0.004,-0.004,-0.0004,-0.006
4.06E-04,-0.004,0.004,0.0004,0.006
4.06E-04,-0.004,-0.004,0.0036,-0.0028
4.06E-04,-0.004,0.012,0.0004,0.0036
4.06E-04,-0.004,-0.004,-0.0044,-0.0068
4.06E-04,0.004,0.004,-0.0004,0.0052
4.06E-04,0.004,-0.004,0.0004,-0.0052
4.06E-04,-0.004,0.004,-0.0028,0.0044
4.06E-04,-0.004,-0.012,-0.0028,-0.0028
4.06E-04,-0.004,0.012,0.0036,0.0012
4.06E-04,-0.004,-0.004,0.002,-0.0044
4.06E-04,-0.004,0.004,-0.0004,0.0068
4.06E-04,-0.004,-0.004,-0.0004,-0.0036
4.06E-04,-0.004,0.004,-0.006,0.0044
4.06E-04,-0.004,-0.004,0.0036,-0.0076
4.06E-04,-0.004,0.004,0.0076,0.002
4.06E-04,-0.012,-0.004,-0.0012,-0.0052
4.06E-04,-0.004,0.004,0.002,0.0076
4.06E-04,-0.004,-0.012,0.0108,-0.0052
4.06E-04,0.004,0.004,0.01,0.0052
4.06E-04,0.004,-0.004,-0.0012,-0.0116
4.06E-04,0.004,0.004,0.0004,0.0108
4.06E-04,-0.004,-0.004,-0.002,-0.006
4.06E-04,-0.004,0.004,0.002,0.006
4.06E-04,-0.004,-0.004,0.0012,-0.0028
4.06E-04,-0.004,0.004,-0.0044,0.0028
4.06E-04,0.004,-0.004,-0.0012,-0.0052
4.06E-04,0.004,0.004,0.0012,0.0028
4.06E-04,-0.004,-0.012,-0.0012,-0.0052
4.06E-04,-0.004,0.012,-0.0036,0.002
4.06E-04,0.004,-0.004,-0.002,-0.0052
4.06E-04,-0.004,0.004,-0.002,0.006
4.06E-04,-0.004,-0.004,0.002,-0.0044
4.06E-04,-0.004,0.012,-0.0004,0.0036
4.06E-04,-0.004,-0.012,-0.0052,-0.0028
4.06E-04,0.004,0.012,-0.0012,0.002
4.06E-04,-0.012,-0.012,0.0044,-0.0068
4.06E-04,-0.012,0.012,0.0028,0.0036
4.06E-04,-0.004,-0.012,0.0012,-0.0084
4.06E-04,-0.004,0.012,0.0012,0.0052
4.06E-04,-0.004,-0.012,0.0028,-0.0036
4.06E-04,-0.004,0.012,0.0028,0.002
4.06E-04,0.004,-0.012,-0.0012,-0.006
4.06E-04,0.004,0.004,-0.0028,0.0052
4.06E-04,-0.004,-0.004,-0.0012,-0.0052
4.06E-04,0.004,0.012,0.0036,0.0028
4.06E-04,0.004,-0.012,0.0004,-0.0068
4.06E-04,-0.004,0.004,-0.0012,0.0036
4.06E-04,0.004,-0.004,0.0028,-0.0044
4.06E-04,-0.004,0.004,-0.0012,0.0052
4.06E-04,-0.004,-0.012,0.0036,-0.002
4.06E-04,0.004,0.012,-0.002,0.0028
4.06E-04,-0.004,-0.004,0.0004,-0.0028
4.06E-04,-0.004,0.004,0.0036,0.0068
4.06E-04,-0.004,-0.004,0.002,-0.0028
4.06E-04,0.004,0.004,0.0028,0.0052
4.07E-04,0.004,-0.004,0.002,-0.0012
4.07E-04,-0.004,0.012,-0.0012,0.006
4.07E-04,-0.004,-0.004,0.0052,-0.006
4.07E-04,0.004,0.004,0.0028,0.0076
4.07E-04,0.004,-0.004,-0.0012,-0.0028
4.07E-04,0.004,0.012,0.0004,0.0052
4.07E-04,0.004,-0.004,0.0028,-0.002
4.07E-04,-0.004,0.004,0.0044,0.01
4.07E-04,0.004,-0.004,0.0124,-0.0044
4.07E-04,0.004,0.004,0.0156,0.0084
4.07E-04,-0.004,-0.004,0.0076,-0.0116
4.07E-04,0.004,0.012,0.0156,0.0156
4.07E-04,-0.004,-0.004,0.0052,-0.0076
4.07E-04,0.004,0.012,-0.002,0.0172
4.07E-04,0.004,-0.004,-0.0028,-0.0132
4.07E-04,0.004,0.004,0.0076,0.0164
4.07E-04,0.004,-0.004,0.0044,-0.0036
4.07E-04,0.004,0.012,0.0036,0.0084
4.07E-04,0.004,-0.004,0.0036,-0.0012
4.07E-04,-0.004,0.012,0.002,0.0108
4.07E-04,-0.012,-0.004,0.006,0.0012
4.07E-04,-0.004,0.012,0.0044,0.0044
4.07E-04,-0.004,-0.012,-0.0044,-0.0052
4.07E-04,-0.004,0.012,0.0012,0.0076
4.07E-04,-0.004,-0.004,0.0004,-0.0044
4.07E-04,-0.004,0.012,0.0028,0.0076
4.07E-04,-0.004,-0.004,-0.0012,-0.0012
4.07E-04,-0.004,0.004,0.002,0.0052
4.07E-04,-0.004,-0.004,0.0044,-0.002
4.07E-04,-0.004,0.004,0.002,0.0068
4.07E-04,0.004,-0.004,0.0012,-0.002
4.07E-04,0.004,0.012,-0.0068,0.0068
4.07E-04,0.004,-0.004,0.0012,-0.0068
4.07E-04,0.004,0.012,0.0044,0.0068
4.07E-04,-0.004,-0.004,0.002,-0.0076
4.07E-04,0.004,0.004,0.0012,0.0052
4.07E-04,-0.004,-0.004,-0.0012,-0.0028
4.07E-04,-0.004,0.004,0.0044,0.0044
4.07E-04,0.004,-0.004,0.0036,-0.0044
4.07E-04,0.012,0.004,-0.0012,0.0092
4.07E-04,-0.004,-0.004,-0.0004,-0.0036
4.07E-04,-0.004,0.012,-0.0012,0.0068
4.07E-04,-0.004,-0.004,0.0092,-0.002
4.07E-04,-0.004,0.012,-0.0012,0.0012
4.07E-04,0.004,-0.004,-0.0028,-0.0076
4.07E-04,-0.004,0.004,0.0004,0.0092
4.07E-04,-0.004,-0.012,0.0004,-0.0068
4.07E-04,-0.004,0.004,-0.002,0.01
4.07E-04,-0.004,-0.004,-0.0052,-0.0044
4.07E-04,-0.004,0.012,-0.002,0.01
4.07E-04,-0.004,-0.004,0.0004,-0.01
4.07E-04,0.004,0.004,0.002,0.0116
4.07E-04,0.004,-0.004,-0.0004,-0.0004
4.07E-04,-0.004,0.012,-0.0004,0.0044
4.07E-04,0.004,-0.004,0.002,-0.0052
4.07E-04,-0.004,0.012,0.0036,0.0044
4.07E-04,0.004,-0.004,0.002,-0.0028
4.07E-04,-0.004,0.004,-0.002,0.0036
4.07E-04,-0.004,-0.004,0.0028,-0.002
4.07E-04,0.004,0.012,0.0068,0.0044
4.07E-04,0.012,-0.004,0.0004,-0.0052
4.07E-04,0.004,0.004,-0.0004,0.0108
4.08E-04,0.004,-0.004,0.0004,-0.0036
4.08E-04,0.004,0.012,0.0004,0.0052
4.08E-04,0.004,-0.004,0.0028,-0.0068
4.08E-04,0.004,0.012,0.0004,0.0084
4.08E-04,0.004,-0.004,-0.002,-0.002
4.08E-04,0.004,0.012,0.0004,0.0076
4.08E-04,0.004,-0.012,0.0092,-0.002
4.08E-04,0.004,0.012,-0.002,0.0052
4.08E-04,0.004,-0.004,-0.0004,-0.0028
4.08E-04,-0.004,0.012,0.0036,0.01
4.08E-04,-0.004,-0.004,0.0036,-0.0036
4.08E-04,0.004,0.012,0.0084,0.0084
4.08E-04,-0.004,-0.004,0.0012,-0.0012
4.08E-04,0.004,0.012,-0.002,0.0084
4.08E-04,-0.004,-0.004,0.0012,-0.0068
4.08E-04,-0.004,0.004,0.0036,0.0092
4.08E-04,0.004,-0.004,-0.0004,-0.0012
4.08E-04,-0.004,0.004,-0.0028,0.0044
4.08E-04,0.004,-0.004,0.006,-0.0044
4.08E-04,0.004,0.004,0.0028,0.0108
4.08E-04,-0.004,-0.004,0.002,-0.0052
4.08E-04,0.004,0.004,0.0004,0.0076
4.08E-04,0.004,-0.004,-0.0068,-0.0004
4.08E-04,-0.004,0.012,0.0052,0.0028
4.08E-04,-0.004,-0.004,0.0004,-0.0076
4.08E-04,-0.004,0.004,-0.0036,0.006
4.08E-04,-0.004,-0.004,0.0036,-0.0052
4.08E-04,-0.004,0.004,0.0108,0.0052
4.08E-04,-0.004,-0.004,0.0044,-0.0092
4.08E-04,-0.004,0.004,0.0012,0.0108
4.08E-04,-0.004,-0.004,0.002,-0.0068
4.08E-04,-0.004,0.004,-0.0012,0.0132
4.08E-04,-0.004,-0.004,0.0036,-0.0036
4.08E-04,-0.004,0.012,-0.002,0.0068
4.08E-04,-0.004,-0.012,-0.0132,-0.0132
4.08E-04,-0.004,0.004,-0.0084,0.01
4.08E-04,-0.004,-0.004,0.0004,-0.014
4.08E-04,0.004,0.004,0.0028,0.014
4.08E-04,-0.004,-0.004,0.0012,-0.0076
4.08E-04,0.004,0.004,0.002,0.0116
4.08E-04,-0.004,-0.012,0.0036,-0.0036
4.08E-04,0.004,0.012,0.0004,0.0068
4.08E-04,0.012,-0.004,-0.0012,-0.0036
4.08E-04,0.004,0.012,-0.0068,0.0052
4.08E-04,-0.004,-0.012,-0.0004,-0.0068
4.08E-04,-0.004,0.012,0.0028,0.006
4.08E-04,-0.004,-0.012,0.0028,-0.0084
4.08E-04,0.004,0.012,0.0012,0.0076
4.08E-04,-0.004,-0.004,0.0004,-0.0012
4.08E-04,-0.004,0.004,0.0044,0.0052
4.08E-04,-0.004,-0.004,0.0044,-0.0028
4.08E-04,0.004,0.004,0.0004,0.01
4.08E-04,-0.004,-0.004,0.0012,-0.002
4.08E-04,-0.004,0.012,0.0012,0.0076
4.08E-04,-0.004,-0.004,0.0068,0.0004
4.08E-04,-0.004,0.012,0.0044,0.0036
4.08E-04,0.004,-0.004,0.0004,-0.0068
4.08E-04,0.004,0.012,0.0036,0.0084
4.08E-04,-0.004,-0.004,0.0044,-0.0012
4.08E-04,-0.004,0.004,0.006,0.0052
4.08E-04,-0.004,-0.004,-0.0028,-0.002
4.08E-04,-0.004,0.004,0.002,0.0108
4.08E-04,-0.004,-0.004,0.0044,-0.0036
4.09E-04,-0.004,0.004,0.0028,0.0084
4.09E-04,-0.004,-0.012,0.0036,-0.0004
4.09E-04,-0.004,0.012,0.0028,0.0044
4.09E-04,0.004,-0.004,-0.0004,-0.006
4.09E-04,-0.004,0.004,0.0004,0.01
4.09E-04,0.004,-0.004,-0.002,-0.0028
4.09E-04,0.004,0.004,-0.0052,0.0092
4.09E-04,-0.004,-0.004,-0.002,-0.0052
4.09E-04,0.004,0.004,0.0044,0.0052
4.09E-04,0.004,-0.004,0.0004,-0.0108
4.09E-04,-0.004,0.012,0.0004,0.0132
4.09E-04,-0.004,-0.004,0.0012,-0.0028
4.09E-04,-0.004,0.012,-0.0044,0.0044
4.09E-04,-0.004,-0.004,0.0052,-0.0076
4.09E-04,0.004,0.004,0.0044,0.0076
4.09E-04,0.004,-0.004,0.002,-0.0052
4.09E-04,-0.004,0.012,0.0028,0.0084
4.09E-04,-0.004,-0.004,0.0084,-0.0012
4.09E-04,-0.004,0.012,0.002,0.0028
4.09E-04,-0.004,-0.004,0.0004,-0.0028
4.09E-04,-0.004,0.004,0.0028,0.0092
4.09E-04,-0.012,-0.004,0.0044,-0.0036
4.09E-04,-0.004,0.012,0.0084,0.0044
4.09E-04,-0.004,-0.012,0.0052,-0.0004
4.09E-04,-0.012,0.012,0.0004,0.0084
4.09E-04,-0.004,-0.012,0.0044,-0.0084
4.09E-04,-0.004,0.012,0.0044,0.0084
4.09E-04,-0.004,-0.012,0.0012,-0.002
4.09E-04,-0.004,0.012,-0.0012,0.0044
4.09E-04,-0.004,-0.004,0.0036,-0.0028
4.09E-04,0.004,0.012,0.002,0.0108
4.09E-04,0.004,-0.004,0.0012,-0.002
4.09E-04,0.004,0.004,0.0012,0.0052
4.09E-04,-0.004,-0.012,-0.0052,-0.0012
4.09E-04,-0.004,0.012,0.0004,0.0052
4.09E-04,-0.004,-0.004,0.0036,-0.006
4.09E-04,0.004,0.004,0.0028,0.0092
4.09E-04,-0.004,-0.012,0.0036,-0.0036
4.09E-04,0.004,0.012,0.0044,0.0068
4.09E-04,-0.004,-0.004,0.006,-0.0004
4.09E-04,-0.004,0.004,0.0036,0.0044
4.09E-04,-0.004,-0.004,0.002,-0.0028
4.09E-04,-0.004,0.004,0.0028,0.0092
4.09E-04,-0.004,-0.004,0.0036,0.0004
4.09E-04,-0.004,0.012,0.0068,0.0036
4.09E-04,-0.004,-0.004,0.002,-0.0068
4.09E-04,-0.004,0.012,0.0012,0.0076
4.09E-04,-0.004,-0.004,-0.0028,-0.0052
4.09E-04,-0.004,0.012,0.0052,0.0084
4.09E-04,-0.004,-0.004,0.0052,-0.0036
4.09E-04,0.004,0.004,0.0004,0.0068
4.09E-04,-0.004,-0.004,0.0004,-0.0036
4.09E-04,0.004,0.012,0.0004,0.0116
4.09E-04,0.004,-0.004,-0.0132,-0.006
4.09E-04,-0.004,0.012,-0.01,0.0092
4.09E-04,0.004,-0.004,-0.0084,-0.0132
4.09E-04,-0.004,0.012,0.002,0.0132
4.09E-04,0.004,-0.004,0.0108,-0.014
4.09E-04,0.004,0.004,0.0092,0.0188
4.09E-04,0.004,-0.004,0.0012,-0.006
4.09E-04,0.004,0.012,0.002,0.0148
4.09E-04,-0.004,-0.004,0.0036,-0.0028
4.10E-04,0.004,0.004,0.0004,0.0092
4.10E-04,-0.012,-0.004,0.0028,-0.0012
4.10E-04,-0.012,0.012,0.0044,0.0052
4.10E-04,-0.004,-0.012,0.002,0.0012
4.10E-04,-0.004,0.012,0.0084,0.0052
4.10E-04,0.004,-0.004,0.006,-0.0052
4.10E-04,-0.004,0.012,0.002,0.0084
4.10E-04,-0.004,-0.004,0.0044,-0.002
4.10E-04,-0.004,0.012,0.0116,0.0068
4.10E-04,0.004,-0.004,0.0012,-0.002
4.10E-04,-0.004,0.004,0.0036,0.0116
4.10E-04,-0.004,-0.004,0.0036,-0.002
4.10E-04,0.004,0.004,0.002,0.0084
4.10E-04,-0.004,-0.012,0.0068,0.0004
4.10E-04,-0.004,0.012,0.0012,0.0052
4.10E-04,0.004,-0.004,-0.0044,-0.006
4.10E-04,-0.004,0.004,0.002,0.0076
4.10E-04,0.004,-0.012,0.0028,-0.0044
4.10E-04,-0.004,0.004,-0.0012,0.006
4.10E-04,-0.004,-0.004,-0.0028,-0.002
4.10E-04,-0.004,0.004,0.0028,0.0036
4.10E-04,0.004,-0.004,-0.002,-0.0028
4.10E-04,-0.004,0.004,-0.0012,0.0084
4.10E-04,-0.004,-0.004,-0.002,-0.002
4.10E-04,-0.004,0.004,-0.0076,0.0036
4.10E-04,-0.004,-0.004,0.0044,-0.0092
4.10E-04,-0.004,0.004,0.0076,0.0036
4.10E-04,-0.004,-0.004,-0.0004,-0.0068
4.10E-04,-0.004,0.004,0.0028,0.0092
4.10E-04,-0.004,-0.012,0.0084,-0.0044
4.10E-04,-0.004,0.004,0.0092,0.0076
4.10E-04,-0.004,-0.004,0.002,-0.0092
4.10E-04,-0.004,0.004,0.0028,0.01
4.10E-04,0.004,-0.004,0.0028,-0.0044
4.10E-04,-0.004,0.012,0.0044,0.0076
4.10E-04,-0.004,-0.004,0.0052,-0.0028
4.10E-04,-0.004,0.004,-0.0028,0.0052
4.10E-04,-0.004,-0.004,-0.0004,-0.0052
4.10E-04,0.004,0.004,0.0012,0.006
4.10E-04,-0.004,-0.004,0.0012,-0.006
4.10E-04,-0.004,0.004,0.0036,0.0052
4.10E-04,0.012,-0.004,0.0004,-0.0004
4.10E-04,0.004,0.004,-0.0028,0.0092
4.10E-04,0.004,-0.004,0.0004,-0.0028
4.10E-04,0.004,0.012,0.002,0.0052
4.10E-04,0.004,-0.012,-0.0012,-0.002
4.10E-04,0.004,0.012,-0.0036,0.006
4.10E-04,0.004,-0.012,0.0012,-0.0052
4.10E-04,0.012,0.012,0.002,0.0076
4.10E-04,0.004,-0.012,0.0044,-0.0036
4.10E-04,0.012,0.012,0.0012,0.0108
4.10E-04,0.004,-0.012,0.0036,0.0004
4.10E-04,-0.004,0.012,0.0076,0.0044
4.10E-04,-0.004,-0.004,0.006,-0.0012
4.10E-04,-0.004,0.012,0.0044,0.01
4.10E-04,-0.004,-0.004,0.0052,-0.002
4.10E-04,0.004,0.012,0.0028,0.0076
4.10E-04,-0.004,-0.004,0.0084,-0.0028
4.10E-04,-0.004,0.004,0.0076,0.0068
4.10E-04,-0.004,-0.004,0.002,-0.002
4.10E-04,-0.004,0.004,0.0028,0.0084
4.10E-04,-0.004,-0.004,0.0084,0.0012
4.10E-04,0.004,0.004,0.002,0.006
4.11E-04,-0.004,-0.004,-0.002,-0.0012
4.11E-04,0.004,0.004,0.0012,0.0084
4.11E-04,0.004,-0.004,0.0012,-0.0028
4.11E-04,-0.004,0.004,0.0052,0.0068
4.11E-04,-0.004,-0.004,0.0036,0.0004
4.11E-04,-0.004,0.004,-0.0036,0.0052
4.11E-04,-0.004,-0.004,0.0004,-0.0052
4.11E-04,0.004,0.004,0.002,0.0076
4.11E-04,-0.004,-0.012,-0.002,-0.0036
4.11E-04,-0.004,0.004,-0.0052,0.0052
4.11E-04,-0.004,-0.004,-0.0044,-0.0052
4.11E-04,0.004,0.004,-0.0012,0.0124
4.11E-04,-0.004,-0.004,0.0084,-0.01
4.11E-04,-0.004,0.004,0.0084,0.01
4.11E-04,-0.004,-0.004,0.0036,-0.0156
4.11E-04,-0.004,0.004,0.0156,0.0132
4.11E-04,-0.004,-0.004,0.014,-0.0108
4.11E-04,-0.004,0.004,0.0004,0.0156
4.11E-04,-0.004,-0.012,-0.0036,-0.014
4.11E-04,-0.012,0.012,0.002,0.0156
4.11E-04,-0.012,-0.012,0.0028,-0.0068
4.11E-04,-0.004,0.004,0.0028,0.01
4.11E-04,0.004,-0.012,0.0028,-0.0028
4.11E-04,0.012,0.012,0.002,0.0084
4.11E-04,0.012,-0.004,0.0044,-0.0012
4.11E-04,-0.004,0.012,0.0036,0.0036
4.11E-04,-0.004,-0.012,-0.0028,-0.0044
4.11E-04,-0.012,0.012,-0.0004,0.006
4.11E-04,-0.004,-0.012,0.0012,-0.006
4.11E-04,-0.004,0.012,0.0004,0.0084
4.11E-04,-0.004,-0.004,-0.0028,-0.0012
4.11E-04,-0.004,0.004,-0.002,0.0028
4.11E-04,0.004,-0.004,0.0012,-0.0044
4.11E-04,-0.004,0.012,0.0028,0.0076
4.11E-04,-0.004,-0.004,0.002,-0.0036
4.11E-04,0.004,0.012,-0.0028,0.0076
4.11E-04,-0.004,-0.004,0.0012,-0.0028
4.11E-04,0.004,0.004,0.0052,0.0044
4.11E-04,-0.004,-0.004,0.0028,-0.0044
4.11E-04,-0.004,0.012,0.0028,0.0076
4.11E-04,-0.004,-0.012,-0.0004,-0.0004
4.11E-04,-0.004,0.004,0.0044,0.0076
4.11E-04,-0.004,-0.004,0.0068,-0.0036
4.11E-04,-0.004,0.004,0.0028,0.01
4.11E-04,0.004,-0.004,0.0012,-0.0036
4.11E-04,0.004,0.012,0.002,0.0076
4.11E-04,-0.004,-0.004,0.0076,-0.002
4.11E-04,-0.004,0.004,0.0036,0.0036
4.11E-04,-0.012,-0.004,0.0012,-0.0044
4.11E-04,-0.004,0.004,0.0052,0.0076
4.11E-04,0.004,-0.012,0.0012,-0.0044
4.11E-04,-0.004,0.012,0.006,0.0132
4.11E-04,0.004,-0.004,-0.0012,-0.0052
4.11E-04,0.004,0.004,-0.0028,0.0132
4.11E-04,-0.004,-0.004,-0.0004,-0.0084
4.11E-04,-0.004,0.004,-0.002,0.0148
4.11E-04,-0.004,-0.004,-0.0012,-0.0028
4.11E-04,-0.004,0.004,-0.0012,0.0052
4.11E-04,0.004,-0.004,0.0004,-0.0036
4.11E-04,0.004,0.004,0.0052,0.0068
4.11E-04,-0.004,-0.004,0.0044,-0.006
4.11E-04,-0.004,0.012,-0.0004,0.01
4.12E-04,-0.004,-0.004,-0.0004,-0.002
4.12E-04,-0.004,0.004,0.006,0.0044
4.12E-04,-0.004,-0.004,0.0036,-0.0036
4.12E-04,-0.004,0.012,0.0036,0.0092
4.12E-04,-0.004,-0.012,0.0036,-0.0028
4.12E-04,-0.004,0.012,-0.0036,0.006
4.12E-04,-0.004,-0.004,0.0076,-0.0068
4.12E-04,-0.004,0.004,0.0044,0.0044
4.12E-04,-0.012,-0.012,0.0012,-0.006
4.12E-04,-0.004,0.012,-0.0012,0.0076
4.12E-04,-0.012,-0.012,0.0084,-0.002
4.12E-04,-0.004,0.012,0.0012,0.0028
4.12E-04,-0.004,-0.012,-0.0036,-0.0068
4.12E-04,-0.004,0.012,-0.0012,0.0084
4.12E-04,-0.004,-0.012,-0.0004,-0.0044
4.12E-04,-0.004,0.012,0.0044,0.0076
4.12E-04,-0.004,-0.004,0.0028,-0.002
4.12E-04,-0.004,0.004,-0.0036,0.0044
4.12E-04,0.004,-0.004,-0.0004,-0.0076
4.12E-04,-0.004,0.004,0.0012,0.0052
4.12E-04,-0.004,-0.004,-0.0004,-0.0036
4.12E-04,-0.004,0.004,-0.006,0.0044
4.12E-04,-0.004,-0.012,-0.0004,-0.006
4.12E-04,0.004,0.004,0.002,0.0084
4.12E-04,-0.004,-0.004,0.002,-0.0068
4.12E-04,-0.004,0.012,0.002,0.006
4.12E-04,0.004,-0.004,-0.0052,-0.002
4.12E-04,-0.004,0.004,0.0036,0.002
4.12E-04,-0.004,-0.012,0.0028,-0.006
4.12E-04,-0.004,0.004,-0.0012,0.0044
4.12E-04,-0.004,-0.012,0.0036,-0.006
4.12E-04,-0.004,0.004,0.0036,0.0068
4.12E-04,-0.004,-0.004,0.0052,-0.0044
4.12E-04,-0.012,0.004,0.0052,0.0044
4.12E-04,-0.004,-0.012,0.0036,-0.0084
4.12E-04,-0.004,0.004,0.0044,0.0092
4.12E-04,-0.004,-0.012,0.006,-0.006
4.12E-04,-0.004,0.012,0.0052,0.0092
4.12E-04,-0.004,-0.004,-0.0028,-0.014
4.12E-04,-0.004,0.004,-0.0092,0.0116
4.12E-04,0.004,-0.012,-0.0036,-0.0132
4.12E-04,0.004,0.012,-0.0012,0.0148
4.12E-04,0.004,-0.004,0.0052,-0.01
4.12E-04,-0.004,0.012,-0.0012,0.0076
4.12E-04,0.004,-0.004,0.002,-0.0028
4.12E-04,-0.012,0.004,0.0028,0.0068
4.12E-04,-0.012,-0.012,0.0028,-0.0012
4.12E-04,-0.004,0.012,0.0044,0.0036
4.12E-04,0.004,-0.012,0.0012,-0.0012
4.12E-04,0.004,0.012,0.0012,0.0068
4.12E-04,0.004,-0.012,0.002,-0.0068
4.12E-04,0.004,0.012,0.0028,0.006
4.12E-04,0.004,-0.012,-0.0012,-0.0004
4.12E-04,0.004,0.012,0.002,0.0044
4.12E-04,-0.012,-0.004,0.0044,-0.002
4.12E-04,-0.004,0.004,0.002,0.0076
